id,uniquecontrast,plate,genes,pg,ms_score,ms_score_percent,activity,association_score,genetic_score,literature_score
26,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00000,PG_00000,15.51057592451447,0.9480952019342865,Single (1),0.45432433204817446,0.25307662859330227,0.3662952790598545
28,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00001,PG_00001,12.002902981246141,0.2617510527064123,Silent,0.799121455972093,0.5603166944228681,0.7555133630699407
30,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00002,PG_00002,10.456737854711374,0.9086078929970499,Low (2-10),0.03230795097460959,0.40401704351348433,0.5990783350461515
32,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00003,PG_00003,4.084777199851035,0.3113913208218849,Silent,0.2776770629060139,0.5349768493854603,0.4699668510855508
34,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00004,PG_00004,50.49865824894065,0.21053604776210766,Medium (11-25),0.8325759625470681,0.3031100488529316,0.6302030741888225
36,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00005,PG_00005,18.507242037568357,0.5653176546379098,Medium (11-25),0.9949325008787272,0.5054077576906073,0.9707855564503722
38,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00006,PG_00006,1.1649874212407052,0.4000996334257171,High (>25),0.2638047564278596,0.5863212448255134,0.7553993009005958
40,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00007,PG_00007,14.646419212893974,0.46668646583463025,Single (1),0.6676849920792929,0.7493065095007087,0.5950826931607746
42,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00008,PG_00008,24.985956124443156,0.1474228551825708,High (>25),0.7960526429055006,0.3552912690982608,0.027648223890777812
44,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00009,PG_00009,6.230376367516461,0.23239778990530824,Medium (11-25),0.23961089567654725,0.605683841328409,0.4587464094580297
46,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00010,PG_00010,10.29709273318896,0.4518329849704166,Single (1),0.48843000251666,0.539615153442699,0.6119037963775958
48,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00011,PG_00011,18.51670532154578,0.9074454958530358,Medium (11-25),0.5684910290345632,0.954930524697643,0.8891942150262614
50,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00012,PG_00012,16.587504945032997,0.2242496617782025,High (>25),0.30286592987335736,0.5531972970186675,0.6680023812282657
52,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00013,PG_00013,12.50202948858492,0.4943166919819788,Low (2-10),0.3252869416417503,0.39007926925614544,0.9802145418491998
54,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00014,PG_00014,5.273623826229318,0.2932354212813836,Medium (11-25),0.49070773354197494,0.8192879161386839,0.898691945151877
56,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00015,PG_00015,10.23694026994949,0.5717557019593288,High (>25),0.8082449710158315,0.2161332917662473,0.6404435427260339
58,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00016,PG_00016,10.006057859420459,0.455995861645091,Single (1),0.05416074535238713,0.8855933765157984,0.007100138548846835
60,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00017,PG_00017,2.8081960600814577,0.5868184690845721,Single (1),0.5140950928249927,0.48815313695012397,0.41459235744126754
62,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00018,PG_00018,21.2546684223974,0.26158384004366997,High (>25),0.676472709192367,0.3106025988038049,0.4793572941029892
64,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00019,PG_00019,0.20259694476639462,0.4551178603064714,Low (2-10),0.018253508215863468,0.283738513013459,0.021633098354995828
66,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00020,PG_00020,4.181455830840951,0.26938687834296715,Medium (11-25),0.00589432619189767,0.9312190024808855,0.29917343299005383
68,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00021,PG_00021,43.34797969112506,0.9506641371318882,Low (2-10),0.6072963694131809,0.6601890996514349,0.5464935086982716
70,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00022,PG_00022,15.701151413797746,0.09762068619064845,Silent,0.4178175795017929,0.24285191345453272,0.5169584056705673
72,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00023,PG_00023,12.528238798062807,0.8650223072314862,Single (1),0.3594089463397956,0.9895214527065097,0.46478181904410665
74,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00024,PG_00024,31.76601862341505,0.4867399635935574,Silent,0.6243694178402193,0.17935334882239518,0.10434025490665855
76,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00025,PG_00025,0.6798555981055385,0.10814525478647741,Medium (11-25),0.41055799029520057,0.49959962377450406,0.7819274666052072
78,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00026,PG_00026,7.583110502982029,0.17646750976713022,Single (1),0.8573905254193043,0.17169651274159703,0.4847970909808371
80,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00027,PG_00027,26.914078537242098,0.8968930184616697,High (>25),0.4972391461440586,0.8550150045806657,0.45593238731915764
82,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00028,PG_00028,2.419681358922758,0.6194651880187729,Single (1),0.8826485888163224,0.5652086479034785,0.6419539290424137
84,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00029,PG_00029,6.684577780932524,0.827402534808662,Medium (11-25),0.9969776471704295,0.4102414195980131,0.6988697889556047
86,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00030,PG_00030,2.538124392412198,0.30093689960625014,Silent,0.897569107640113,0.2697745229439248,0.7101107377811492
88,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00031,PG_00031,18.487666454789377,0.899509237080786,Single (1),0.3887528764677357,0.11443144884766554,0.7101469080962525
90,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00032,PG_00032,10.608683695765142,0.6812627188957627,High (>25),0.5694127561233447,0.32200620084566134,0.3749928051054926
92,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00033,PG_00033,185.07088277388937,0.36470451543763116,Silent,0.16522624443797707,0.3930769151894391,0.8545981281177918
94,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00034,PG_00034,20.56312291282268,0.365242925487126,Medium (11-25),0.7388716252531844,0.8000617207681074,0.031197384225134517
96,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00035,PG_00035,4.314360532726232,0.5549059430115884,Silent,0.9388658209828763,0.7600761635610868,0.18634497322715715
98,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00036,PG_00036,10.381534366921795,0.8968430873753318,Single (1),0.204068255281858,0.7915798150342399,0.7061839776425234
100,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00037,PG_00037,4.32850765192739,0.2766692195186733,Silent,0.3913778621726912,0.06485563441731546,0.4669360586972261
102,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00038,PG_00038,67.3676073227079,0.025666963847431168,High (>25),0.14354286300560426,0.8269712752973627,0.0022046628876259966
104,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00039,PG_00039,23.25824101875049,0.4416636031379939,Low (2-10),0.2720910451805134,0.7453956446239636,0.4205806009242917
106,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00040,PG_00040,7.317159503829795,0.42384659373383793,Silent,0.8127997883288284,0.9948905487580122,0.29499144619370565
108,SRB-9000000.001.Pw00_vs_DMSO,Pw00,G_00041,PG_00041,159.42993431265484,0.4002169407979532,Silent,0.349624405308782,0.3529996621803133,0.9921791377679438
