id,pg,genes,uniquecontrast,logfc,pvalue,adjpval,significant,plate
25,PG_00000,G_00000,SRB-9000000.001.Pw00_vs_DMSO,1.1539494616050738,0.04073240904116234,0.17605296753871752,1,Pw00
27,PG_00001,G_00001,SRB-9000000.001.Pw00_vs_DMSO,1.3069356214624714,0.7231056486081548,1.0,0,Pw00
29,PG_00002,G_00002,SRB-9000000.001.Pw00_vs_DMSO,0.8717860421076358,0.24885157107970998,1.0,0,Pw00
31,PG_00003,G_00003,SRB-9000000.001.Pw00_vs_DMSO,1.2126024739222683,0.20290105606697553,0.7680337441008459,0,Pw00
33,PG_00004,G_00004,SRB-9000000.001.Pw00_vs_DMSO,1.318773242404675,0.978244722048734,1.0,0,Pw00
35,PG_00005,G_00005,SRB-9000000.001.Pw00_vs_DMSO,1.02153473240757,0.7476069037498583,1.0,0,Pw00
37,PG_00006,G_00006,SRB-9000000.001.Pw00_vs_DMSO,1.4936625758451016,0.49250097958485217,1.0,0,Pw00
39,PG_00007,G_00007,SRB-9000000.001.Pw00_vs_DMSO,0.19174334397156936,0.0006810206672592765,0.003235560877734784,0,Pw00
41,PG_00008,G_00008,SRB-9000000.001.Pw00_vs_DMSO,1.232338029087888,0.7968088137652207,0.8928121261800054,0,Pw00
43,PG_00009,G_00009,SRB-9000000.001.Pw00_vs_DMSO,-0.9195069010934305,0.6554552511797056,0.9802298770484397,0,Pw00
45,PG_00010,G_00010,SRB-9000000.001.Pw00_vs_DMSO,1.3644637228640193,0.6273756906316292,0.8289732401987442,0,Pw00
47,PG_00011,G_00011,SRB-9000000.001.Pw00_vs_DMSO,1.4258610724592424,0.9611784226381695,1.0,0,Pw00
49,PG_00012,G_00012,SRB-9000000.001.Pw00_vs_DMSO,0.4997910920275817,0.7028650671369047,1.0,0,Pw00
51,PG_00013,G_00013,SRB-9000000.001.Pw00_vs_DMSO,0.31465348873399973,0.0754083864428357,0.1749004845161404,0,Pw00
53,PG_00014,G_00014,SRB-9000000.001.Pw00_vs_DMSO,2.306714649838657,0.8698924403251042,1.0,0,Pw00
55,PG_00015,G_00015,SRB-9000000.001.Pw00_vs_DMSO,0.15534061624245663,0.43351024252324427,1.0,0,Pw00
57,PG_00016,G_00016,SRB-9000000.001.Pw00_vs_DMSO,-0.9065472371021981,0.5370755792070027,1.0,0,Pw00
59,PG_00017,G_00017,SRB-9000000.001.Pw00_vs_DMSO,-0.7468335145267248,0.6095500121502386,1.0,0,Pw00
61,PG_00018,G_00018,SRB-9000000.001.Pw00_vs_DMSO,1.5016156561961655,0.5922796941055244,0.9153899660113474,0,Pw00
63,PG_00019,G_00019,SRB-9000000.001.Pw00_vs_DMSO,0.4823954667955971,0.051446174600827684,0.25639760312635496,0,Pw00
65,PG_00020,G_00020,SRB-9000000.001.Pw00_vs_DMSO,-2.510492203383661,0.14026487871757282,0.47532276708009114,0,Pw00
67,PG_00021,G_00021,SRB-9000000.001.Pw00_vs_DMSO,-0.9610629919248707,0.5854075892449635,1.0,0,Pw00
69,PG_00022,G_00022,SRB-9000000.001.Pw00_vs_DMSO,-0.8948076028264002,0.9834465966109367,1.0,0,Pw00
71,PG_00023,G_00023,SRB-9000000.001.Pw00_vs_DMSO,2.126150709520519,0.6518189450127002,1.0,0,Pw00
73,PG_00024,G_00024,SRB-9000000.001.Pw00_vs_DMSO,2.732134253042159,0.3752674996838369,0.6718683278738775,0,Pw00
75,PG_00025,G_00025,SRB-9000000.001.Pw00_vs_DMSO,-2.561841220793476,0.9247943285662489,1.0,0,Pw00
77,PG_00026,G_00026,SRB-9000000.001.Pw00_vs_DMSO,1.4100072218587172,0.8495563807024622,1.0,0,Pw00
79,PG_00027,G_00027,SRB-9000000.001.Pw00_vs_DMSO,0.5268012159769755,0.34610325640346606,1.0,0,Pw00
81,PG_00028,G_00028,SRB-9000000.001.Pw00_vs_DMSO,0.9379094001651546,0.2779681216371679,1.0,0,Pw00
83,PG_00029,G_00029,SRB-9000000.001.Pw00_vs_DMSO,1.3472078631934337,0.9657600903200344,1.0,0,Pw00
85,PG_00030,G_00030,SRB-9000000.001.Pw00_vs_DMSO,1.8384749230509936,0.7739421588876654,0.797075182436308,0,Pw00
87,PG_00031,G_00031,SRB-9000000.001.Pw00_vs_DMSO,2.3984216095658457,0.7553262667488272,1.0,0,Pw00
89,PG_00032,G_00032,SRB-9000000.001.Pw00_vs_DMSO,0.07187951987216931,0.9653976550316676,1.0,0,Pw00
91,PG_00033,G_00033,SRB-9000000.001.Pw00_vs_DMSO,0.8972680941083451,0.9880704940258921,1.0,0,Pw00
93,PG_00034,G_00034,SRB-9000000.001.Pw00_vs_DMSO,1.1933425177000647,0.9178557661683036,1.0,0,Pw00
95,PG_00035,G_00035,SRB-9000000.001.Pw00_vs_DMSO,-1.7382759269629866,0.4723909757360599,1.0,0,Pw00
97,PG_00036,G_00036,SRB-9000000.001.Pw00_vs_DMSO,-1.6783272991766556,0.16179720040997053,0.6998706547058431,0,Pw00
99,PG_00037,G_00037,SRB-9000000.001.Pw00_vs_DMSO,-1.4783173216451495,0.2353027525301055,0.5822456757659639,0,Pw00
101,PG_00038,G_00038,SRB-9000000.001.Pw00_vs_DMSO,-2.0306427307035215,0.7332917158612404,1.0,0,Pw00
103,PG_00039,G_00039,SRB-9000000.001.Pw00_vs_DMSO,-1.2597872271068,0.4411646469466341,1.0,0,Pw00
105,PG_00040,G_00040,SRB-9000000.001.Pw00_vs_DMSO,-0.7844010152308631,0.9414486378941129,1.0,0,Pw00
107,PG_00041,G_00041,SRB-9000000.001.Pw00_vs_DMSO,1.9774026769387407,0.692660838928962,0.7773834513622009,0,Pw00
109,PG_00042,G_00042,SRB-9000000.001.Pw00_vs_DMSO,-3.5969478387230707,0.2714251871624718,1.0,0,Pw00
111,PG_00043,G_00043,SRB-9000000.001.Pw00_vs_DMSO,-1.91820080488804,0.6363394428232306,1.0,0,Pw00
113,PG_00044,G_00044,SRB-9000000.001.Pw00_vs_DMSO,0.5767061410535186,0.38742822883366923,1.0,0,Pw00
115,PG_00045,G_00045,SRB-9000000.001.Pw00_vs_DMSO,1.4997066447207534,0.11128638364791985,0.4642313656854493,0,Pw00
117,PG_00046,G_00046,SRB-9000000.001.Pw00_vs_DMSO,-0.678098302463988,0.3234961431942269,1.0,0,Pw00
119,PG_00047,G_00047,SRB-9000000.001.Pw00_vs_DMSO,2.5454584919595376,0.3359967213589331,0.9869522624859612,0,Pw00
121,PG_00048,G_00048,SRB-9000000.001.Pw00_vs_DMSO,-0.15975496343480972,0.7644027928786469,1.0,0,Pw00
123,PG_00049,G_00049,SRB-9000000.001.Pw00_vs_DMSO,1.5950873477395957,0.5465863976975853,1.0,0,Pw00
125,PG_00050,G_00050,SRB-9000000.001.Pw00_vs_DMSO,1.1977057381656329,0.592620668304944,1.0,0,Pw00
127,PG_00051,G_00051,SRB-9000000.001.Pw00_vs_DMSO,-0.5101554932757203,0.4162366775655772,0.47362621848519937,0,Pw00
129,PG_00052,G_00052,SRB-9000000.001.Pw00_vs_DMSO,0.2536621937624798,0.0979980449053062,0.42584586984160194,0,Pw00
