id,pg,genes,uniquecontrast,logfc,pvalue,adjpval,significant,plate
2929,PG_00000,G_00000,SRB-9001000.001.Pw10_vs_DMSO,-1.3379040729669565,0.6884686717061334,1.0,0,Pw10
2931,PG_00001,G_00001,SRB-9001000.001.Pw10_vs_DMSO,1.743659705963288,0.8611751016859633,1.0,0,Pw10
2933,PG_00002,G_00002,SRB-9001000.001.Pw10_vs_DMSO,-0.17977093595085678,0.20743694616096747,0.5548077390973333,0,Pw10
2935,PG_00003,G_00003,SRB-9001000.001.Pw10_vs_DMSO,2.5684028391460814,0.848819502504839,1.0,0,Pw10
2937,PG_00004,G_00004,SRB-9001000.001.Pw10_vs_DMSO,-2.082815804534525,0.3260338874712491,0.3303633804162052,0,Pw10
2939,PG_00005,G_00005,SRB-9001000.001.Pw10_vs_DMSO,-0.22637005107292646,0.562383339628414,1.0,0,Pw10
2941,PG_00006,G_00006,SRB-9001000.001.Pw10_vs_DMSO,0.10271244240992503,0.34904598673598974,1.0,0,Pw10
2943,PG_00007,G_00007,SRB-9001000.001.Pw10_vs_DMSO,-0.9825210289065771,0.8662215964998876,1.0,0,Pw10
2945,PG_00008,G_00008,SRB-9001000.001.Pw10_vs_DMSO,-0.027977143431202132,0.7427662449620952,1.0,0,Pw10
2947,PG_00009,G_00009,SRB-9001000.001.Pw10_vs_DMSO,0.09354618528873701,0.962266698160877,1.0,0,Pw10
2949,PG_00010,G_00010,SRB-9001000.001.Pw10_vs_DMSO,-0.657479857751725,0.7791268083792736,1.0,0,Pw10
2951,PG_00011,G_00011,SRB-9001000.001.Pw10_vs_DMSO,-2.6502999981989652,0.17369367061624263,0.6149015879828678,0,Pw10
2953,PG_00012,G_00012,SRB-9001000.001.Pw10_vs_DMSO,0.6982245412820172,0.9620490864755431,1.0,0,Pw10
2955,PG_00013,G_00013,SRB-9001000.001.Pw10_vs_DMSO,-3.13024802741478,0.5689249417398949,0.8436372821115458,0,Pw10
